"","Conversion","Age","Distance","Angle","Location"
"1",0,28.88,49.2432559630834,-9.07207024398472,"Away"
"2",0,22.66,56.9263585633598,-7.09049756078411,"Away"
"3",1,22.58,15.9997659293003,22.2385748433021,"Away"
"4",0,26.68,40.288810050115,-15.6315879817634,"Away"
"5",1,24.05,23.2567856577225,-3.13031222144851,"Away"
"6",0,24.36,52.9960188572295,-8.44325237959891,"Away"
"7",0,29.79,41.3954890472814,24.754811336914,"Home"
"8",0,30.69,51.4988207863644,-9.78792248011557,"Home"
"9",1,31.91,32.3623915226199,3.59590573946879,"Away"
"10",0,27.28,44.286276542116,24.5418595426573,"Home"
"11",1,31.12,15.6563151418231,-14.6388622350684,"Home"
"12",1,29.63,33.1534021091647,4.4225906857757,"Away"
"13",1,29.14,16.0335281537846,-23.3845690345857,"Away"
"14",1,24.35,11.9528740434907,24.0042427821755,"Away"
"15",0,22.54,52.2041375539266,-35.7680819407035,"Home"
"16",1,21.96,25.8960864180699,1.98023619366006,"Away"
"17",0,22.37,56.299922268372,21.7420015737265,"Away"
"18",0,25.09,51.3162349839695,-16.3524041926,"Home"
"19",1,22.38,23.8044647872448,9.93737475033974,"Away"
"20",0,24.43,40.2247796091251,-7.37410840989285,"Away"
"21",1,29.55,15.5040101520717,-11.476382477748,"Away"
"22",0,26.85,55.5636013415642,-13.2555557318875,"Home"
"23",1,32.5,14.6977557125501,-2.93770617169267,"Away"
"24",0,27.35,40.2872531232424,18.6344542760469,"Home"
"25",1,20.1,23.6487817042507,-23.1392471318222,"Home"
"26",1,28.63,22.3823276953772,-6.45858915911925,"Home"
"27",1,32.73,39.6421753009781,9.34185941765355,"Home"
"28",0,22.28,46.7046920233406,6.10588806422514,"Away"
"29",0,30.74,57.8142114938237,-4.93532505137674,"Home"
"30",1,24.79,32.3567960201763,7.23378935784579,"Home"
"31",0,28.87,45.0021485821344,4.00887185094853,"Away"
"32",1,27.09,32.695495840162,-15.9855659409865,"Away"
"33",1,24.69,34.9123014160432,-3.24235203138006,"Home"
"34",1,24.81,40.1407210878097,10.5537618908465,"Home"
"35",1,30.59,34.8234046273865,-4.90375784460697,"Home"
"36",1,28.6,20.1283931988291,-5.63591880029163,"Home"
"37",1,27.42,11.9218991394155,1.13503231829459,"Home"
"38",0,23.9,54.4116932456382,-14.4818306307499,"Home"
"39",0,22.98,50.4051922261715,-18.2223140782166,"Away"
"40",1,23.86,37.1490230574273,4.81078272948765,"Away"
"41",0,23.72,48.7990023707971,-11.8235865868695,"Away"
"42",1,32.86,25.534341649618,-29.5989946204816,"Home"
"43",1,20.75,25.5293577583507,-16.4689693662672,"Away"
"44",1,30.05,33.7270161160268,8.77763362977101,"Away"
"45",1,23.37,11.7016116995364,-7.75543275228693,"Away"
"46",0,27.47,51.8064405792393,-7.27517888237353,"Home"
"47",0,20.4,38.4831192460842,31.4836643010854,"Home"
"48",1,28.82,12.3296362836845,7.76971846006168,"Home"
"49",1,28.18,19.4927666010335,-16.6300308726465,"Home"
"50",1,20.52,12.9449512017891,-10.3097369106609,"Home"
"51",1,31.53,32.2697047400288,-13.6155131833869,"Away"
"52",1,20.24,12.3612629505806,-2.8561658622058,"Away"
"53",1,22.25,27.0561869395897,-2.62415589590444,"Away"
"54",1,31.95,17.0823475834914,-5.5455691990545,"Home"
"55",0,23.48,54.5837108418345,2.01273337876219,"Home"
"56",1,28.24,30.7862357492559,-4.23178306663379,"Away"
"57",1,21.44,38.3597782021388,8.72388484977068,"Home"
"58",0,25.34,48.5751041350886,20.2307563736401,"Home"
"59",1,26.52,21.1406857846305,-17.1220531937237,"Away"
"60",1,30.06,10.1191212213598,8.41200133486,"Home"
"61",1,31.25,10.7039808202535,29.7163319647231,"Home"
"62",1,30.23,19.5340655534528,20.0127631801602,"Away"
"63",0,29.97,49.4067066838033,-8.73174371488073,"Home"
"64",1,31.54,11.3530196156353,2.01609243870508,"Away"
"65",0,27.61,57.745492355898,-28.5463476511248,"Away"
